time,uol,wol,uol_block,wol_block,upi,wpi,upi_block,wpi_block,upid,wpid,upid_block,wpid_block,r
13.5,1,7.6602789756706,1,7.6602789756706,0.0908396014051604,1.1351176574185,0.0908396014051604,1.1351176574185,0.0930416915603247,0.919114602424195,0.0930416915603247,0.919114602424195,1
13.6,1,7.00258350201394,1,7.00258350201394,0.0905891263113049,1.11535743643692,0.0905891263113049,1.11535743643692,0.0932024950443902,0.920862041383799,0.0932024950443902,0.920862041383799,1
13.7,1,6.40988125725843,1,6.40988125725843,0.090382340309182,1.09142856568597,0.090382340309182,1.09142856568597,0.0933600537050579,0.922599280517712,0.0933600537050579,0.922599280517712,1
13.8,1,5.89350789310491,1,5.89350789310491,0.0902271065773923,1.06380516610379,0.0902271065773923,1.06380516610379,0.0935144340763989,0.924323488250533,0.0935144340763989,0.924323488250533,1
13.9,1,5.46314612847937,1,5.46314612847937,0.0901302613317445,1.03304007954405,0.0901302613317445,1.03304007954405,0.0936657012088655,0.926031475025922,0.0936657012088655,0.926031475025922,1
14,1,5.12664635735188,1,5.12664635735188,0.0900974667496591,0.999754502541279,0.0900974667496591,0.999754502541279,0.0938139186843532,0.92771977455067,0.0938139186843532,0.927719774550669,1
14.1,1,4.88988602756293,1,4.88988602756293,0.0901330861116097,0.964626135508154,0.0901330861116097,0.964626135508154,0.0939591486342159,0.929384729535924,0.0939591486342159,0.929384729535924,1
14.2,1,4.75667025124914,1,4.75667025124914,0.0902400839042169,0.928376071884621,0.0902400839042169,0.928376071884621,0.0941014517603784,0.931022580162567,0.0941014517603784,0.931022580162567,1
14.3,1,4.728675250468,1,4.728675250468,0.0904199531528775,0.891754679454851,0.0904199531528775,0.891754679454851,0.0942408873596134,0.932629553460629,0.0942408873596134,0.932629553460629,1
14.4,1,4.80543536063505,1,4.80543536063505,0.0906726717244958,0.855526748926748,0.0906726717244958,0.855526748926748,0.0943775133509753,0.934201951792541,0.0943775133509753,0.934201951792541,1
14.5,1,4.98437342743764,1,4.98437342743764,0.090996688773149,0.820456202420076,0.090996688773149,0.820456202420076,0.0945113863063101,0.935736238666513,0.0945113863063102,0.935736238666513,1
14.6,1,5.26087355795133,1,5.26087355795133,0.0913889419044038,0.787290666325183,0.0913889419044038,0.787290666325183,0.0946425614836887,0.937229120178252,0.0946425614836887,0.937229120178252,1
14.7,1,5.62839434131536,1,5.62839434131536,0.0918449050192997,0.756746218778881,0.0918449050192997,0.756746218778881,0.094771092863541,0.938677620484838,0.094771092863541,0.938677620484838,1
14.8,1,6.07861985530786,1,6.07861985530786,0.0923586661789407,0.72949262158008,0.0923586661789407,0.72949262158008,0.0948970331872109,0.940079149851362,0.0948970331872109,0.940079149851362,1
14.9,1,6.60164503818601,1,6.60164503818601,0.0929230342176789,0.70613933968177,0.0929230342176789,0.70613933968177,0.0950204339975918,0.941431563975806,0.0950204339975918,0.941431563975806,1
15,1,7.1861913445006,1,7.1861913445006,0.0935296722394768,0.687222638520279,0.0935296722394768,0.687222638520279,0.0951413456814579,0.942733213486961,0.0951413456814579,0.942733213486961,1
15.1,1,7.81984803185439,1,7.81984803185439,0.094169255570381,0.673194030575597,0.094169255570381,0.673194030575597,0.0952598175130637,0.943982982719988,0.0952598175130637,0.943982982719988,1
15.2,1,8.48933395342866,1,8.48933395342866,0.0948316512217863,0.664410318019042,0.0948316512217863,0.664410318019042,0.0953758976985574,0.945180317099879,0.0953758976985574,0.945180317099879,1
15.3,1,9.18077436711224,1,9.18077436711224,0.0955061154552316,0.661125448535632,0.0955061154552316,0.661125448535632,0.0954896334207303,0.946325238700043,0.0954896334207303,0.946325238700043,1
15.4,1,9.87998702252605,1,9.87998702252605,0.0961815056397389,0.663484366957097,0.0961815056397389,0.663484366957097,0.0956010708836148,0.947418349786496,0.0956010708836148,0.947418349786496,1
15.5,1,10.5727716560618,1,10.5727716560618,0.0968465022659253,0.671519006856545,0.0968465022659253,0.671519006856545,0.0957102553564444,0.94846082440276,0.0957102553564444,0.94846082440276,1
15.6,1,11.2451970127364,1,11.2451970127364,0.0974898367345943,0.685146524474423,0.0974898367345943,0.685146524474423,0.0958172312164953,0.949454388291572,0.0958172312164953,0.949454388291572,1
15.7,1,11.8838796212584,1,11.8838796212584,0.0981005203770414,0.704169833078448,0.0981005203770414,0.704169833078448,0.0959220419903528,0.950401287682073,0.0959220419903528,0.950401287682073,1
15.8,1,12.4762487718674,1,12.4762487718674,0.0986680700939861,0.728280449976888,0.0986680700939861,0.728280449976888,0.0960247303931706,0.951304247690668,0.0960247303931706,0.951304247690668,1
15.9,1,13.0107924796087,1,13.0107924796087,0.0991827260221936,0.757063621815599,0.0991827260221936,0.757063621815599,0.0961253383655306,0.952166421285898,0.0961253383655306,0.952166421285898,1
16,1,13.4772796509261,1,13.4772796509261,0.0996356567529496,0.790005647428412,0.0996356567529496,0.790005647428412,0.0962239071075535,0.952991329948554,0.0962239071075535,0.952991329948554,1
16.1,1,13.8669541990158,1,13.8669541990158,0.100019147833205,0.826503272316604,0.100019147833205,0.826503272316604,0.0963204771099654,0.953782797314461,0.0963204771099654,0.953782797314461,1
16.2,1,14.1726974617142,1,14.1726974617142,0.100326769575157,0.865874985730687,0.100326769575157,0.865874985730687,0.0964150881818777,0.954544877215941,0.0964150881818777,0.954544877215941,1
16.3,1,14.3891559517114,1,14.3891559517114,0.100553520578218,0.907374011208192,0.100553520578218,0.907374011208192,0.0965077794751055,0.955281777636617,0.0965077794751055,0.955281777636617,1
16.4,1,14.5128321982822,1,14.5128321982822,0.100695943821886,0.950202745124645,0.100695943821886,0.950202745124645,0.0965985895049083,0.955997782161286,0.0965985895049083,0.955997782161287,1
